name_en,name_my
kyaw,ကျော်
thwin,သွင်
than,သန်း
maung,မောင်
tin,တင်
win,ဝင်း
zaw,ဇော်
col,ဗိုလ်မှူး
thet,သက်
wai,ဝေ
myint,မြင့်
swe,ဆွေ
dr,ဒေါက်တာ
saw,စော
bei,ဘိုင်
htoo,ထူး
aye,အေး
soe,စိုး
kyi,ကြည်
thein,သိန်း
hla,လှ
aung,အောင်
chit,ချစ်
yi,ရီ
lwin,လွင်
sein,စိန်
gun,ဂွန်း
nyunt,ညွန့်
hsan,ဆန်း
wain,ဝိန်
tun,ထွန်း
lt,ဗိုလ်မှူးကြီး
san,စန်း
baw,ဘော်
kyaung,ကြောင်း
naing,နိုင်
mya,မြ
min,မင်း
ko,ကို
ohn,အုန်း
ngwe,ငွေ
daw,ဒေါ်
thain,သိမ်း
han,ဟန်
ba,ဘ
bwa,ဘွာ
ye,ရဲ
htay,ဌေး
nyein,ငြိမ်း
khaing,ခိုင်
khin,ခင်
oo,ဦး
mar,မာ
ga,ဂွ
tha,သ
brig,ဘရစ်
gen,ဂျန်
tint,တင့်
moe,မိုး
pu,ပု
htwe,ထွေး
kam,ခမ်
twe,တွယ်
thaung,သောင်း
mo,မို
ngin,ငစ်
po,ပို
yin,ယဥ်
zay,ဇေ
yar,ရာ
shwe,ရွှေ
shein,ရှိန်း
cho,ချို
hlaing,လှိုင်
myo,မျိုး
thwe,သွယ်
truman,ထရမ်မန်း
zan,ဇန်
yu,ယု
maj,မေဂျာ
tommy,တော်မီ
j.m,
nolla,နိုလာ
phauyam,ဖူးရမ်
kamtwe,ကမ်တွယ်
maw,မော်
kyaing,ကြိုင်
nay,နေ
pe,ပီ
chain,ချိန်း
hin,ဟင်
seinn,စိန်း
nai,နေ
pan,ပန်
bo,ဘို
kya,ကျ
gyi,ကြီး
capt,ကပ္ပတိန်
kyin,ကျင်
paw,ပေါ်
tar,တာ
rutu,ရုတ
reh,ရ
hta,ထ
ru,ရု
